               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.021442,           0.0088438,            0.033811,             0.56285,              0.6917,             0.64048,             0.51377,            0.018612,           0.0023924,            0.025403,           0.0076735,           0.0076735,           0.0076735
                  96,            0.021781,           0.0086262,            0.033653,              0.5606,             0.71559,             0.65466,             0.52542,            0.018259,           0.0023713,            0.024529,           0.0076488,           0.0076488,           0.0076488
                  97,            0.022179,           0.0087629,            0.033021,             0.55723,              0.7093,             0.65295,              0.5268,            0.018096,           0.0023758,            0.027613,            0.007624,            0.007624,            0.007624
                  98,            0.022337,           0.0088135,            0.032355,             0.56591,             0.70539,             0.65076,             0.52122,            0.018322,             0.00239,            0.024223,           0.0075993,           0.0075993,           0.0075993
                  99,            0.021563,           0.0088791,            0.034646,             0.59479,              0.6652,             0.65222,             0.52575,            0.018576,           0.0023913,            0.024371,           0.0075745,           0.0075745,           0.0075745
                 100,            0.021566,           0.0086948,            0.033685,             0.59406,             0.67483,             0.65858,             0.53546,             0.01838,           0.0023836,            0.026041,           0.0075498,           0.0075498,           0.0075498
                 101,             0.02272,            0.008785,            0.034095,             0.60273,              0.6435,             0.65597,             0.52946,            0.017918,            0.002382,            0.026583,            0.007525,            0.007525,            0.007525
                 102,            0.022495,           0.0088383,            0.033711,             0.59042,             0.66358,             0.65311,             0.52663,            0.017739,           0.0023945,            0.026694,           0.0075003,           0.0075003,           0.0075003
                 103,            0.021692,           0.0087706,            0.033217,             0.59282,             0.68178,              0.6552,             0.52673,            0.017783,           0.0023946,            0.024178,           0.0074755,           0.0074755,           0.0074755
                 104,             0.02138,           0.0086141,            0.031806,             0.57469,             0.69002,             0.66262,             0.53153,            0.018097,            0.002411,            0.025065,           0.0074507,           0.0074507,           0.0074507
                 105,            0.022115,           0.0085554,            0.033171,             0.56508,             0.72146,             0.66271,             0.53103,            0.018147,           0.0024133,            0.025143,            0.007426,            0.007426,            0.007426
                 106,            0.022314,           0.0087587,            0.032142,             0.57309,             0.69809,             0.66026,             0.53211,            0.018066,           0.0023955,            0.025293,           0.0074013,           0.0074013,           0.0074013
